clon,clat,cdep,slip,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
1545734.3657296784,5256697.013898162,6487.804878048781,3.771721185923393,1545440.4925694864,5256271.765503351,6000.0,1545782.5902275557,5257211.671094144,6000.0,1546028.2388898707,5257122.262292974,6975.609756097561,1545686.1412318014,5256182.356702181,6975.609756097561
1546076.4633877478,5257636.919488955,6487.804878048781,3.9527931845612096,1545782.5902275557,5257211.671094144,6000.0,1546124.6878856248,5258151.576684937,6000.0,1546370.3365479398,5258062.167883767,6975.609756097561,1546028.2388898707,5257122.262292974,6975.609756097561
1546418.561045817,5258576.825079748,6487.804878048781,3.8603377465151656,1546124.6878856248,5258151.576684937,6000.0,1546466.7855436942,5259091.48227573,6000.0,1546712.4342060091,5259002.07347456,6975.609756097561,1546370.3365479398,5258062.167883767,6975.609756097561
1546760.6587038862,5259516.730670542,6487.804878048781,4.161817980640815,1546466.7855436942,5259091.48227573,6000.0,1546808.8832017633,5260031.387866524,6000.0,1547054.5318640785,5259941.979065354,6975.609756097561,1546712.4342060091,5259002.07347456,6975.609756097561
1547102.7563619555,5260456.636261336,6487.804878048781,4.575827345851366,1546808.8832017633,5260031.387866524,6000.0,1547150.9808598326,5260971.293457317,6000.0,1547396.6295221476,5260881.884656147,6975.609756097561,1547054.5318640785,5259941.979065354,6975.609756097561
1547444.8540200246,5261396.54185213,6487.804878048781,4.632519252060019,1547150.9808598326,5260971.293457317,6000.0,1547493.0785179017,5261911.19904811,6000.0,1547738.7271802167,5261821.79024694,6975.609756097561,1547396.6295221476,5260881.884656147,6975.609756097561
1547786.9516780938,5262336.447442922,6487.804878048781,4.88755898542553,1547493.0785179017,5261911.19904811,6000.0,1547835.1761759708,5262851.104638904,6000.0,1548080.824838286,5262761.695837734,6975.609756097561,1547738.7271802167,5261821.79024694,6975.609756097561
1548129.049336163,5263276.353033716,6487.804878048781,4.6133502847645955,1547835.1761759708,5262851.104638904,6000.0,1548177.2738340402,5263791.010229697,6000.0,1548422.9224963551,5263701.601428528,6975.609756097561,1548080.824838286,5262761.695837734,6975.609756097561
1548471.1469942322,5264216.25862451,6487.804878048781,5.130985825485363,1548177.2738340402,5263791.010229697,6000.0,1548519.3714921093,5264730.915820491,6000.0,1548765.0201544242,5264641.507019321,6975.609756097561,1548422.9224963551,5263701.601428528,6975.609756097561
1548813.2446523013,5265156.164215303,6487.804878048781,5.366248934635823,1548519.3714921093,5264730.915820491,6000.0,1548861.4691501786,5265670.821411285,6000.0,1549107.1178124936,5265581.412610115,6975.609756097561,1548765.0201544242,5264641.507019321,6975.609756097561
