clon,clat,cdep,slip,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
1560723.0813512406,5296837.254319114,497.0733753532989,0.07768921634956183,1560390.8435183216,5296439.639689512,1.0,1560814.1134662807,5297347.345022155,1.0,1561055.31918416,5297234.868948717,993.1467507065978,1560632.0492362005,5296327.163616074,993.1467507065978
1561146.3512992002,5297744.959651756,497.0733753532989,0.03932955947855283,1560814.1134662807,5297347.345022155,1.0,1561237.38341424,5298255.050354796,1.0,1561478.5891321194,5298142.574281359,993.1467507065978,1561055.31918416,5297234.868948717,993.1467507065978
1561569.6212471593,5298652.664984399,497.0733753532989,0.03417214246596598,1561237.38341424,5298255.050354796,1.0,1561660.6533621997,5299162.755687439,1.0,1561901.8590800785,5299050.2796140015,993.1467507065978,1561478.5891321194,5298142.574281359,993.1467507065978
1561992.8911951187,5299560.370317041,497.0733753532989,0.041860925016630995,1561660.6533621997,5299162.755687439,1.0,1562083.9233101588,5300070.461020082,1.0,1562325.129028038,5299957.984946644,993.1467507065978,1561901.8590800785,5299050.2796140015,993.1467507065978
1562416.161143078,5300468.075649683,497.0733753532989,0.0015066066623124965,1562083.9233101588,5300070.461020082,1.0,1562507.1932581181,5300978.166352725,1.0,1562748.3989759975,5300865.690279286,993.1467507065978,1562325.129028038,5299957.984946644,993.1467507065978
1562839.4310910373,5301375.780982327,497.0733753532989,0.016475681050840112,1562507.1932581181,5300978.166352725,1.0,1562930.4632060775,5301885.871685366,1.0,1563171.6689239566,5301773.395611929,993.1467507065978,1562748.3989759975,5300865.690279286,993.1467507065978
1563262.7010389965,5302283.486314969,497.0733753532989,0.01817917827561364,1562930.4632060775,5301885.871685366,1.0,1563353.7331540368,5302793.5770180095,1.0,1563594.938871916,5302681.100944572,993.1467507065978,1563171.6689239566,5301773.395611929,993.1467507065978
1563685.9709869558,5303191.191647612,497.0733753532989,0.02804423140003353,1563353.7331540368,5302793.5770180095,1.0,1563777.0031019961,5303701.282350652,1.0,1564018.2088198753,5303588.806277214,993.1467507065978,1563594.938871916,5302681.100944572,993.1467507065978
1564109.2409349154,5304098.896980254,497.0733753532989,0.07365939914839037,1563777.0031019961,5303701.282350652,1.0,1564200.2730499553,5304608.987683294,1.0,1564441.4787678346,5304496.511609856,993.1467507065978,1564018.2088198753,5303588.806277214,993.1467507065978
1564532.5108828745,5305006.6023128955,497.0733753532989,0.07877064924324521,1564200.2730499553,5304608.987683294,1.0,1564623.5429979146,5305516.693015937,1.0,1564864.748715794,5305404.216942498,993.1467507065978,1564441.4787678346,5304496.511609856,993.1467507065978
1564955.780830834,5305914.307645539,497.0733753532989,0.05652057146308882,1564623.5429979146,5305516.693015937,1.0,1565046.8129458742,5306424.398348579,1.0,1565288.018663753,5306311.922275141,993.1467507065978,1564864.748715794,5305404.216942498,993.1467507065978
1565379.0507787932,5306822.012978181,497.0733753532989,0.04733386769694486,1565046.8129458742,5306424.398348579,1.0,1565470.0828938333,5307332.103681222,1.0,1565711.2886117124,5307219.627607784,993.1467507065978,1565288.018663753,5306311.922275141,993.1467507065978
1565802.3207267525,5307729.718310824,497.0733753532989,0.08445670554264958,1565470.0828938333,5307332.103681222,1.0,1565893.3528417926,5308239.809013864,1.0,1566134.558559672,5308127.332940427,993.1467507065978,1565711.2886117124,5307219.627607784,993.1467507065978
1566225.5906747119,5308637.423643467,497.0733753532989,0.14971755094024716,1565893.3528417926,5308239.809013864,1.0,1566316.622789752,5309147.514346506,1.0,1566557.828507631,5309035.038273068,993.1467507065978,1566134.558559672,5308127.332940427,993.1467507065978
1566648.8606226712,5309545.1289761085,497.0733753532989,0.2916365057485447,1566316.622789752,5309147.514346506,1.0,1566739.8927377115,5310055.219679149,1.0,1566981.0984555904,5309942.7436057115,993.1467507065978,1566557.828507631,5309035.038273068,993.1467507065978
1567072.1305706305,5310452.834308751,497.0733753532989,0.3488117180623664,1566739.8927377115,5310055.219679149,1.0,1567163.1626856707,5310962.925011791,1.0,1567404.3684035498,5310850.448938354,993.1467507065978,1566981.0984555904,5309942.7436057115,993.1467507065978
1567495.40051859,5311360.539641394,497.0733753532989,0.2332161472657904,1567163.1626856707,5310962.925011791,1.0,1567586.43263363,5311870.630344434,1.0,1567827.638351509,5311758.154270995,993.1467507065978,1567404.3684035498,5310850.448938354,993.1467507065978
1567918.6704665495,5312268.244974037,497.0733753532989,0.2501735902715087,1567586.43263363,5311870.630344434,1.0,1568009.7025815893,5312778.335677077,1.0,1568250.9082994685,5312665.859603639,993.1467507065978,1567827.638351509,5311758.154270995,993.1467507065978
1568341.9404145086,5313175.950306679,497.0733753532989,0.2531891624113732,1568009.7025815893,5312778.335677077,1.0,1568432.9725295487,5313686.041009719,1.0,1568674.1782474278,5313573.564936281,993.1467507065978,1568250.9082994685,5312665.859603639,993.1467507065978
1568765.2103624677,5314083.655639322,497.0733753532989,0.17687969261283745,1568432.9725295487,5313686.041009719,1.0,1568856.242477508,5314593.746342362,1.0,1569097.4481953871,5314481.270268924,993.1467507065978,1568674.1782474278,5313573.564936281,993.1467507065978
1569188.4803104273,5314991.360971964,497.0733753532989,0.2763286156582177,1568856.242477508,5314593.746342362,1.0,1569279.5124254674,5315501.451675004,1.0,1569520.7181433463,5315388.975601566,993.1467507065978,1569097.4481953871,5314481.270268924,993.1467507065978
1569611.7502583866,5315899.066304606,497.0733753532989,0.3583280864644348,1569279.5124254674,5315501.451675004,1.0,1569702.7823734265,5316409.157007646,1.0,1569943.9880913058,5316296.680934208,993.1467507065978,1569520.7181433463,5315388.975601566,993.1467507065978
1570035.020206346,5316806.771637249,497.0733753532989,0.4493061628251459,1569702.7823734265,5316409.157007646,1.0,1570126.052321386,5317316.862340289,1.0,1570367.2580392652,5317204.386266852,993.1467507065978,1569943.9880913058,5316296.680934208,993.1467507065978
1570458.2901543048,5317714.476969891,497.0733753532989,0.47531535115364004,1570126.052321386,5317316.862340289,1.0,1570549.3222693452,5318224.567672932,1.0,1570790.5279872243,5318112.091599493,993.1467507065978,1570367.2580392652,5317204.386266852,993.1467507065978
1570881.5601022644,5318622.182302534,497.0733753532989,0.6016028477717839,1570549.3222693452,5318224.567672932,1.0,1570972.5922173045,5319132.273005574,1.0,1571213.7979351836,5319019.796932136,993.1467507065978,1570790.5279872243,5318112.091599493,993.1467507065978
1571304.8300502237,5319529.887635176,497.0733753532989,0.7547151756338212,1570972.5922173045,5319132.273005574,1.0,1571395.8621652639,5320039.978338216,1.0,1571637.067883143,5319927.502264778,993.1467507065978,1571213.7979351836,5319019.796932136,993.1467507065978
1571728.099998183,5320437.592967819,497.0733753532989,0.8201566170359589,1571395.8621652639,5320039.978338216,1.0,1571819.132113223,5320947.683670859,1.0,1572060.3378311023,5320835.207597421,993.1467507065978,1571637.067883143,5319927.502264778,993.1467507065978
1572151.3699461424,5321345.298300461,497.0733753532989,0.6635579117483277,1571819.132113223,5320947.683670859,1.0,1572242.4020611825,5321855.389003501,1.0,1572483.6077790617,5321742.912930064,993.1467507065978,1572060.3378311023,5320835.207597421,993.1467507065978
1572574.6398941018,5322253.003633103,497.0733753532989,1.0450052232148253,1572242.4020611825,5321855.389003501,1.0,1572665.6720091419,5322763.094336144,1.0,1572906.8777270208,5322650.618262706,993.1467507065978,1572483.6077790617,5321742.912930064,993.1467507065978
1572997.9098420609,5323160.708965747,497.0733753532989,4.495484050083924,1572665.6720091419,5322763.094336144,1.0,1573088.941957101,5323670.799668786,1.0,1573330.1476749803,5323558.323595348,993.1467507065978,1572906.8777270208,5322650.618262706,993.1467507065978
1573421.1797900202,5324068.414298388,497.0733753532989,5.99792658015438,1573088.941957101,5323670.799668786,1.0,1573512.2119050603,5324578.505001429,1.0,1573753.4176229397,5324466.028927991,993.1467507065978,1573330.1476749803,5323558.323595348,993.1467507065978
1573844.4497379796,5324976.119631031,497.0733753532989,5.001602974445393,1573512.2119050603,5324578.505001429,1.0,1573935.48185302,5325486.210334071,1.0,1574176.6875708988,5325373.734260634,993.1467507065978,1573753.4176229397,5324466.028927991,993.1467507065978
1574267.7196859391,5325883.824963674,497.0733753532989,3.048499550894377,1573935.48185302,5325486.210334071,1.0,1574358.751800979,5326393.915666713,1.0,1574599.9575188581,5326281.439593275,993.1467507065978,1574176.6875708988,5325373.734260634,993.1467507065978
1574690.9896338983,5326791.530296315,497.0733753532989,2.2590600145183792,1574358.751800979,5326393.915666713,1.0,1574782.0217489384,5327301.620999357,1.0,1575023.2274668177,5327189.144925918,993.1467507065978,1574599.9575188581,5326281.439593275,993.1467507065978
1575114.2595818578,5327699.235628959,497.0733753532989,0.9938668413910354,1574782.0217489384,5327301.620999357,1.0,1575205.2916968977,5328209.326331998,1.0,1575446.4974147768,5328096.850258561,993.1467507065978,1575023.2274668177,5327189.144925918,993.1467507065978
1575537.529529817,5328606.940961601,497.0733753532989,0.5003607391630028,1575205.2916968977,5328209.326331998,1.0,1575628.5616448573,5329117.031664642,1.0,1575869.7673627362,5329004.555591204,993.1467507065978,1575446.4974147768,5328096.850258561,993.1467507065978
1560964.28706912,5296724.778245676,1489.2201260598965,0.15248356989718825,1560632.0492362005,5296327.163616074,993.1467507065978,1561055.31918416,5297234.868948717,993.1467507065978,1561296.52490204,5297122.392875278,1985.2935014131954,1560873.2549540806,5296214.687542636,1985.2935014131954
1561387.5570170796,5297632.483578318,1489.2201260598965,0.12132372585277558,1561055.31918416,5297234.868948717,993.1467507065978,1561478.5891321194,5298142.574281359,993.1467507065978,1561719.7948499992,5298030.098207921,1985.2935014131954,1561296.52490204,5297122.392875278,1985.2935014131954
1561810.826965039,5298540.188910962,1489.2201260598965,0.11070710219327873,1561478.5891321194,5298142.574281359,993.1467507065978,1561901.8590800785,5299050.2796140015,993.1467507065978,1562143.0647979586,5298937.803540563,1985.2935014131954,1561719.7948499992,5298030.098207921,1985.2935014131954
1562234.0969129982,5299447.894243604,1489.2201260598965,0.10598512371423874,1561901.8590800785,5299050.2796140015,993.1467507065978,1562325.129028038,5299957.984946644,993.1467507065978,1562566.334745918,5299845.508873207,1985.2935014131954,1562143.0647979586,5298937.803540563,1985.2935014131954
1562657.3668609576,5300355.599576246,1489.2201260598965,0.019532742770826072,1562325.129028038,5299957.984946644,993.1467507065978,1562748.3989759975,5300865.690279286,993.1467507065978,1562989.6046938773,5300753.214205848,1985.2935014131954,1562566.334745918,5299845.508873207,1985.2935014131954
1563080.636808917,5301263.304908889,1489.2201260598965,0.010535405374421016,1562748.3989759975,5300865.690279286,993.1467507065978,1563171.6689239566,5301773.395611929,993.1467507065978,1563412.8746418366,5301660.9195384905,1985.2935014131954,1562989.6046938773,5300753.214205848,1985.2935014131954
1563503.9067568763,5302171.010241531,1489.2201260598965,0.060971931268128256,1563171.6689239566,5301773.395611929,993.1467507065978,1563594.938871916,5302681.100944572,993.1467507065978,1563836.1445897957,5302568.624871134,1985.2935014131954,1563412.8746418366,5301660.9195384905,1985.2935014131954
1563927.1767048354,5303078.715574173,1489.2201260598965,0.10153479149074449,1563594.938871916,5302681.100944572,993.1467507065978,1564018.2088198753,5303588.806277214,993.1467507065978,1564259.4145377553,5303476.330203775,1985.2935014131954,1563836.1445897957,5302568.624871134,1985.2935014131954
1564350.4466527947,5303986.420906817,1489.2201260598965,0.17771879732392404,1564018.2088198753,5303588.806277214,993.1467507065978,1564441.4787678346,5304496.511609856,993.1467507065978,1564682.6844857144,5304384.035536418,1985.2935014131954,1564259.4145377553,5303476.330203775,1985.2935014131954
1564773.716600754,5304894.126239458,1489.2201260598965,0.24120408981876004,1564441.4787678346,5304496.511609856,993.1467507065978,1564864.748715794,5305404.216942498,993.1467507065978,1565105.9544336738,5305291.740869061,1985.2935014131954,1564682.6844857144,5304384.035536418,1985.2935014131954
1565196.9865487136,5305801.831572101,1489.2201260598965,0.153499527810171,1564864.748715794,5305404.216942498,993.1467507065978,1565288.018663753,5306311.922275141,993.1467507065978,1565529.224381633,5306199.446201703,1985.2935014131954,1565105.9544336738,5305291.740869061,1985.2935014131954
1565620.2564966728,5306709.536904744,1489.2201260598965,0.17563791968729034,1565288.018663753,5306311.922275141,993.1467507065978,1565711.2886117124,5307219.627607784,993.1467507065978,1565952.4943295924,5307107.151534346,1985.2935014131954,1565529.224381633,5306199.446201703,1985.2935014131954
1566043.5264446323,5307617.242237385,1489.2201260598965,0.31793805931201413,1565711.2886117124,5307219.627607784,993.1467507065978,1566134.558559672,5308127.332940427,993.1467507065978,1566375.7642775518,5308014.856866988,1985.2935014131954,1565952.4943295924,5307107.151534346,1985.2935014131954
1566466.7963925914,5308524.947570029,1489.2201260598965,0.4631019134010795,1566134.558559672,5308127.332940427,993.1467507065978,1566557.828507631,5309035.038273068,993.1467507065978,1566799.0342255111,5308922.56219963,1985.2935014131954,1566375.7642775518,5308014.856866988,1985.2935014131954
1566890.0663405508,5309432.652902671,1489.2201260598965,0.6685181022988781,1566557.828507631,5309035.038273068,993.1467507065978,1566981.0984555904,5309942.7436057115,993.1467507065978,1567222.3041734702,5309830.267532273,1985.2935014131954,1566799.0342255111,5308922.56219963,1985.2935014131954
1567313.3362885101,5310340.358235313,1489.2201260598965,0.9767284624503415,1566981.0984555904,5309942.7436057115,993.1467507065978,1567404.3684035498,5310850.448938354,993.1467507065978,1567645.5741214298,5310737.972864916,1985.2935014131954,1567222.3041734702,5309830.267532273,1985.2935014131954
1567736.6062364695,5311248.063567956,1489.2201260598965,1.3667300780288834,1567404.3684035498,5310850.448938354,993.1467507065978,1567827.638351509,5311758.154270995,993.1467507065978,1568068.8440693892,5311645.678197557,1985.2935014131954,1567645.5741214298,5310737.972864916,1985.2935014131954
1568159.8761844288,5312155.768900598,1489.2201260598965,1.3565028460348425,1567827.638351509,5311758.154270995,993.1467507065978,1568250.9082994685,5312665.859603639,993.1467507065978,1568492.1140173483,5312553.3835302,1985.2935014131954,1568068.8440693892,5311645.678197557,1985.2935014131954
1568583.1461323882,5313063.474233241,1489.2201260598965,0.560556712491268,1568250.9082994685,5312665.859603639,993.1467507065978,1568674.1782474278,5313573.564936281,993.1467507065978,1568915.3839653076,5313461.088862843,1985.2935014131954,1568492.1140173483,5312553.3835302,1985.2935014131954
1569006.4160803477,5313971.179565883,1489.2201260598965,0.3462035066714545,1568674.1782474278,5313573.564936281,993.1467507065978,1569097.4481953871,5314481.270268924,993.1467507065978,1569338.6539132672,5314368.794195486,1985.2935014131954,1568915.3839653076,5313461.088862843,1985.2935014131954
1569429.6860283068,5314878.884898526,1489.2201260598965,0.4893717560086579,1569097.4481953871,5314481.270268924,993.1467507065978,1569520.7181433463,5315388.975601566,993.1467507065978,1569761.9238612265,5315276.499528128,1985.2935014131954,1569338.6539132672,5314368.794195486,1985.2935014131954
1569852.955976266,5315786.590231168,1489.2201260598965,0.43571667711788076,1569520.7181433463,5315388.975601566,993.1467507065978,1569943.9880913058,5316296.680934208,993.1467507065978,1570185.1938091856,5316184.20486077,1985.2935014131954,1569761.9238612265,5315276.499528128,1985.2935014131954
1570276.2259242253,5316694.2955638105,1489.2201260598965,0.30443602798604336,1569943.9880913058,5316296.680934208,993.1467507065978,1570367.2580392652,5317204.386266852,993.1467507065978,1570608.463757145,5317091.9101934135,1985.2935014131954,1570185.1938091856,5316184.20486077,1985.2935014131954
1570699.4958721846,5317602.000896453,1489.2201260598965,0.6687203272603556,1570367.2580392652,5317204.386266852,993.1467507065978,1570790.5279872243,5318112.091599493,993.1467507065978,1571031.7337051043,5317999.615526055,1985.2935014131954,1570608.463757145,5317091.9101934135,1985.2935014131954
1571122.7658201437,5318509.706229095,1489.2201260598965,0.8690734100901496,1570790.5279872243,5318112.091599493,993.1467507065978,1571213.7979351836,5319019.796932136,993.1467507065978,1571455.0036530637,5318907.320858697,1985.2935014131954,1571031.7337051043,5317999.615526055,1985.2935014131954
1571546.035768103,5319417.411561738,1489.2201260598965,1.0099400103564746,1571213.7979351836,5319019.796932136,993.1467507065978,1571637.067883143,5319927.502264778,993.1467507065978,1571878.273601023,5319815.026191341,1985.2935014131954,1571455.0036530637,5318907.320858697,1985.2935014131954
1571969.3057160624,5320325.116894381,1489.2201260598965,0.9661940549993349,1571637.067883143,5319927.502264778,993.1467507065978,1572060.3378311023,5320835.207597421,993.1467507065978,1572301.5435489821,5320722.731523982,1985.2935014131954,1571878.273601023,5319815.026191341,1985.2935014131954
1572392.575664022,5321232.822227023,1489.2201260598965,0.7090161948630848,1572060.3378311023,5320835.207597421,993.1467507065978,1572483.6077790617,5321742.912930064,993.1467507065978,1572724.8134969415,5321630.436856626,1985.2935014131954,1572301.5435489821,5320722.731523982,1985.2935014131954
