clon,clat,cdep,slip,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
9419846.960448386,31853998.58580348,498.38706260173996,2.673709537732964,9419513.824449865,31853599.921728715,1.0,9419938.219155343,31854510.039111637,1.0,9420180.096446905,31854397.249878246,995.7741252034799,9419755.701741429,31853487.132495325,995.7741252034799
9420271.355153864,31854908.703186404,498.38706260173996,2.6568617756289754,9419938.219155343,31854510.039111637,1.0,9420362.613860821,31855420.15649456,1.0,9420604.491152383,31855307.36726117,995.7741252034799,9420180.096446905,31854397.249878246,995.7741252034799
9420695.749859342,31855818.82056933,498.38706260173996,2.418265632770856,9420362.613860821,31855420.15649456,1.0,9420787.008566298,31856330.273877487,1.0,9421028.885857861,31856217.484644096,995.7741252034799,9420604.491152383,31855307.36726117,995.7741252034799
9421120.144564819,31856728.937952254,498.38706260173996,1.9551926153514034,9420787.008566298,31856330.273877487,1.0,9421211.403271776,31857240.39126041,1.0,9421453.28056334,31857127.602027025,995.7741252034799,9421028.885857861,31856217.484644096,995.7741252034799
9421544.539270297,31857639.05533518,498.38706260173996,2.156993335689679,9421211.403271776,31857240.39126041,1.0,9421635.797977254,31858150.508643337,1.0,9421877.675268818,31858037.719409946,995.7741252034799,9421453.28056334,31857127.602027025,995.7741252034799
9421968.933975775,31858549.172718104,498.38706260173996,3.13548563759355,9421635.797977254,31858150.508643337,1.0,9422060.192682732,31859060.62602626,1.0,9422302.069974296,31858947.83679287,995.7741252034799,9421877.675268818,31858037.719409946,995.7741252034799
9422393.328681253,31859459.29010103,498.38706260173996,3.837060557127779,9422060.192682732,31859060.62602626,1.0,9422484.58738821,31859970.743409187,1.0,9422726.464679774,31859857.954175796,995.7741252034799,9422302.069974296,31858947.83679287,995.7741252034799
9422817.723386731,31860369.407483954,498.38706260173996,3.9021535098770097,9422484.58738821,31859970.743409187,1.0,9422908.982093688,31860880.86079211,1.0,9423150.859385252,31860768.07155872,995.7741252034799,9422726.464679774,31859857.954175796,995.7741252034799
9423242.118092211,31861279.52486688,498.38706260173996,5.202002104728734,9422908.982093688,31860880.86079211,1.0,9423333.376799166,31861790.97817504,1.0,9423575.254090728,31861678.18894165,995.7741252034799,9423150.859385252,31860768.07155872,995.7741252034799
9423666.512797687,31862189.642249808,498.38706260173996,5.098581667092987,9423333.376799166,31861790.97817504,1.0,9423757.771504644,31862701.095557965,1.0,9423999.648796206,31862588.306324575,995.7741252034799,9423575.254090728,31861678.18894165,995.7741252034799
9424090.907503163,31863099.75963273,498.38706260173996,5.599651265679887,9423757.771504644,31862701.095557965,1.0,9424182.16621012,31863611.212940887,1.0,9424424.043501686,31863498.423707496,995.7741252034799,9423999.648796206,31862588.306324575,995.7741252034799
9424515.302208642,31864009.877015654,498.38706260173996,4.191892814354477,9424182.16621012,31863611.212940887,1.0,9424606.560915599,31864521.33032381,1.0,9424848.438207164,31864408.54109042,995.7741252034799,9424424.043501686,31863498.423707496,995.7741252034799
9424939.69691412,31864919.99439858,498.38706260173996,3.9486167704565713,9424606.560915599,31864521.33032381,1.0,9425030.955621079,31865431.447706737,1.0,9425272.83291264,31865318.65847335,995.7741252034799,9424848.438207164,31864408.54109042,995.7741252034799
9425364.091619598,31865830.111781508,498.38706260173996,4.329541974641371,9425030.955621079,31865431.447706737,1.0,9425455.350326557,31866341.56508966,1.0,9425697.227618119,31866228.77585627,995.7741252034799,9425272.83291264,31865318.65847335,995.7741252034799
9425788.486325076,31866740.22916443,498.38706260173996,5.641432020205187,9425455.350326557,31866341.56508966,1.0,9425879.745032033,31867251.682472587,1.0,9426121.622323597,31867138.893239196,995.7741252034799,9425697.227618119,31866228.77585627,995.7741252034799
